item_name,item_url,subcategory,schema_name_value,schema_name_uri,schema_url_value,schema_url_uri,schema_price_value,schema_price_uri,schema_color_value,schema_color_uri,schema_sku_value,schema_sku_uri,brand,category
HP 302XL/304XL originele drie-kleuren inktcartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-302xl-304xl-originele-drie-kleuren-inktcartridge-b7rt8ae-ls1,InkCartridge,HP 302XL/304XL originele drie-kleuren inktcartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-302xl-304xl-originele-drie-kleuren-inktcartridge-b7rt8ae-ls1,https://schema.org/url,52.49,https://schema.org/price,Cyan/Magenta/Yellow,https://schema.org/color,B7RT8AE,https://schema.org/sku,HP,Supplies
HP 302XL/304XL originele zwarte inktcartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-302xl-304xl-originele-zwarte-inktcartridge-b7rt9ae-ls1,InkCartridge,HP 302XL/304XL originele zwarte inktcartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-302xl-304xl-originele-zwarte-inktcartridge-b7rt9ae-ls1,https://schema.org/url,42.99,https://schema.org/price,Black,https://schema.org/color,B7RT9AE,https://schema.org/sku,HP,Supplies
"HP 304A originele cyaan/magenta/gele LaserJet tonercartridge, 3-pack",https://www.hp.com/be-nl/shop/products/supplies/hp-304a-originele-cyaan-magenta-gele-laserjet-tonercartridge-3-pack-cf372am,TonerCartridge,"HP 304A originele cyaan/magenta/gele LaserJet tonercartridge, 3-pack",https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-304a-originele-cyaan-magenta-gele-laserjet-tonercartridge-3-pack-cf372am,https://schema.org/url,600.99,https://schema.org/price,Cyan/Magenta/Yellow,https://schema.org/color,CF372AM,https://schema.org/sku,LaserJet,Supplies
HP 301XL originele high-capacity zwarte inktcartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-301xl-originele-high-capacity-zwarte-inktcartridge-ch563ee-uus,InkCartridge,HP 301XL originele high-capacity zwarte inktcartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-301xl-originele-high-capacity-zwarte-inktcartridge-ch563ee-uus,https://schema.org/url,57.49,https://schema.org/price,Black,https://schema.org/color,CH563EE,https://schema.org/sku,HP,Supplies
HP 301 originele drie-kleuren inktcartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-301-originele-drie-kleuren-inktcartridge-ch562ee-uus,InkCartridge,HP 301 originele drie-kleuren inktcartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-301-originele-drie-kleuren-inktcartridge-ch562ee-uus,https://schema.org/url,33.49,https://schema.org/price,Cyan/Magenta/Yellow,https://schema.org/color,CH562EE,https://schema.org/sku,HP,Supplies
HP 415X originele high-capacity magenta LaserJet tonercartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-415x-originele-high-capacity-magenta-laserjet-tonercartridge-w2033x,TonerCartridge,HP 415X originele high-capacity magenta LaserJet tonercartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-415x-originele-high-capacity-magenta-laserjet-tonercartridge-w2033x,https://schema.org/url,352.49,https://schema.org/price,Magenta,https://schema.org/color,W2033X,https://schema.org/sku,LaserJet,Supplies
HP 415A originele magenta LaserJet tonercartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-415a-originele-magenta-laserjet-tonercartridge-w2033a,TonerCartridge,HP 415A originele magenta LaserJet tonercartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-415a-originele-magenta-laserjet-tonercartridge-w2033a,https://schema.org/url,163.5,https://schema.org/price,Magenta,https://schema.org/color,W2033A,https://schema.org/sku,LaserJet,Supplies
HP 415A originele gele LaserJet tonercartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-415a-originele-gele-laserjet-tonercartridge-w2032a,TonerCartridge,HP 415A originele gele LaserJet tonercartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-415a-originele-gele-laserjet-tonercartridge-w2032a,https://schema.org/url,163.5,https://schema.org/price,Yellow,https://schema.org/color,W2032A,https://schema.org/sku,LaserJet,Supplies
HP 303XL originele high-capacity drie-kleuren inktcartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-303xl-originele-high-capacity-drie-kleuren-inktcartridge-t6n03ae-ls1,InkCartridge,HP 303XL originele high-capacity drie-kleuren inktcartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-303xl-originele-high-capacity-drie-kleuren-inktcartridge-t6n03ae-ls1,https://schema.org/url,61.99,https://schema.org/price,Cyan/Magenta/Yellow,https://schema.org/color,T6N03AE,https://schema.org/sku,HP,Supplies
HP 303 originele drie-kleuren inktcartridge,https://www.hp.com/be-nl/shop/products/supplies/hp-303-originele-drie-kleuren-inktcartridge-t6n01ae-ls1,InkCartridge,HP 303 originele drie-kleuren inktcartridge,https://schema.org/name,https://www.hp.com/be-nl/shop/products/supplies/hp-303-originele-drie-kleuren-inktcartridge-t6n01ae-ls1,https://schema.org/url,28.99,https://schema.org/price,Cyan/Magenta/Yellow,https://schema.org/color,T6N01AE,https://schema.org/sku,HP,Supplies
